Site,XS,Elev,Q
Rock Creek,Rock Creek_XS90,95.53,42.48
Rock Creek,Rock Creek_XS90,95.59,49.56
Rock Creek,Rock Creek_XS90,95.65,56.64
Rock Creek,Rock Creek_XS90,95.77,70.79
Rock Creek,Rock Creek_XS90,95.86,80.42
Rock Creek,Rock Creek_XS90,95.91,84.95
Rock Creek,Rock Creek_XS90,96.14,109.51
Rock Creek,Rock Creek_XS90.5,94.89,0.27
Rock Creek,Rock Creek_XS90.5,94.97,0.45
Rock Creek,Rock Creek_XS90.5,95,0.57
Rock Creek,Rock Creek_XS90.5,95.18,1.42
Rock Creek,Rock Creek_XS90.5,95.32,2.83
Rock Creek,Rock Creek_XS90.5,95.51,5.66
Rock Creek,Rock Creek_XS90.5,95.62,8.5
Rock Creek,Rock Creek_XS90.5,95.69,11.89
Rock Creek,Rock Creek_XS90.5,95.76,14.16
Rock Creek,Rock Creek_XS90.5,95.99,21.24
Rock Creek,Rock Creek_XS90.5,96.15,28.32
Rock Creek,Rock Creek_XS90.5,96.31,35.4
Rock Creek,Rock Creek_XS90.5,96.42,42.48
Rock Creek,Rock Creek_XS90.5,96.52,49.56
Rock Creek,Rock Creek_XS90.5,96.61,56.64
Rock Creek,Rock Creek_XS90.5,96.79,70.79
Rock Creek,Rock Creek_XS90.5,96.89,80.42
Rock Creek,Rock Creek_XS90.5,96.93,84.95
Rock Creek,Rock Creek_XS90.5,97.12,109.51
Rock Creek,Rock Creek_XS91,94.9,0.27
Rock Creek,Rock Creek_XS91,94.99,0.45
Rock Creek,Rock Creek_XS91,95.02,0.57
Rock Creek,Rock Creek_XS91,95.23,1.42
Rock Creek,Rock Creek_XS91,95.4,2.83
Rock Creek,Rock Creek_XS91,95.63,5.66
Rock Creek,Rock Creek_XS91,95.77,8.5
Rock Creek,Rock Creek_XS91,95.87,11.89
Rock Creek,Rock Creek_XS91,95.95,14.16
Rock Creek,Rock Creek_XS91,96.16,21.24
Rock Creek,Rock Creek_XS91,96.32,28.32
Rock Creek,Rock Creek_XS91,96.47,35.4
Rock Creek,Rock Creek_XS91,96.6,42.48
Rock Creek,Rock Creek_XS91,96.71,49.56
Rock Creek,Rock Creek_XS91,96.83,56.64
Rock Creek,Rock Creek_XS91,97.06,70.79
Rock Creek,Rock Creek_XS91,97.2,80.42
Rock Creek,Rock Creek_XS91,97.26,84.95
Rock Creek,Rock Creek_XS91,97.55,109.51
Rock Creek,Rock Creek_XS92,95.02,0.27
Rock Creek,Rock Creek_XS92,95.06,0.45
Rock Creek,Rock Creek_XS92,95.08,0.57
Rock Creek,Rock Creek_XS92,95.31,1.42
Rock Creek,Rock Creek_XS92,95.56,2.83
Rock Creek,Rock Creek_XS92,95.81,5.66
Rock Creek,Rock Creek_XS92,95.94,8.5
Rock Creek,Rock Creek_XS92,96.05,11.89
Rock Creek,Rock Creek_XS92,96.11,14.16
Rock Creek,Rock Creek_XS92,96.27,21.24
Rock Creek,Rock Creek_XS92,96.4,28.32
Rock Creek,Rock Creek_XS92,96.51,35.4
Rock Creek,Rock Creek_XS92,96.63,42.48
Rock Creek,Rock Creek_XS92,96.75,49.56
Rock Creek,Rock Creek_XS92,96.87,56.64
Rock Creek,Rock Creek_XS92,97.1,70.79
Rock Creek,Rock Creek_XS92,97.24,80.42
Rock Creek,Rock Creek_XS92,97.3,84.95
Rock Creek,Rock Creek_XS92,97.6,109.51
Rock Creek,Rock Creek_XS92.5,95.43,0.27
Rock Creek,Rock Creek_XS92.5,95.55,0.45
Rock Creek,Rock Creek_XS92.5,95.6,0.57
Rock Creek,Rock Creek_XS92.5,95.76,1.42
Rock Creek,Rock Creek_XS92.5,95.91,2.83
Rock Creek,Rock Creek_XS92.5,96.06,5.66
Rock Creek,Rock Creek_XS92.5,96.12,8.5
Rock Creek,Rock Creek_XS92.5,96.18,11.89
Rock Creek,Rock Creek_XS92.5,96.22,14.16
Rock Creek,Rock Creek_XS92.5,96.3,21.24
Rock Creek,Rock Creek_XS92.5,96.39,28.32
Rock Creek,Rock Creek_XS92.5,96.48,35.4
Rock Creek,Rock Creek_XS92.5,96.6,42.48
Rock Creek,Rock Creek_XS92.5,96.73,49.56
Rock Creek,Rock Creek_XS92.5,96.84,56.64
Rock Creek,Rock Creek_XS92.5,97.06,70.79
Rock Creek,Rock Creek_XS92.5,97.21,80.42
Rock Creek,Rock Creek_XS92.5,97.26,84.95
Rock Creek,Rock Creek_XS92.5,97.57,109.51
Rock Creek,Rock Creek_XS93,96.96,0.27
Rock Creek,Rock Creek_XS93,97.03,0.45
Rock Creek,Rock Creek_XS93,97.06,0.57
Rock Creek,Rock Creek_XS93,97.21,1.42
Rock Creek,Rock Creek_XS93,97.34,2.83
Rock Creek,Rock Creek_XS93,97.5,5.66
Rock Creek,Rock Creek_XS93,97.6,8.5
Rock Creek,Rock Creek_XS93,97.68,11.89
Rock Creek,Rock Creek_XS93,97.73,14.16
Rock Creek,Rock Creek_XS93,97.88,21.24
Rock Creek,Rock Creek_XS93,98.01,28.32
Rock Creek,Rock Creek_XS93,98.11,35.4
Rock Creek,Rock Creek_XS93,98.21,42.48
Rock Creek,Rock Creek_XS93,98.29,49.56
Rock Creek,Rock Creek_XS93,98.37,56.64
Rock Creek,Rock Creek_XS93,98.51,70.79
Rock Creek,Rock Creek_XS93,98.6,80.42
Rock Creek,Rock Creek_XS93,98.64,84.95
Rock Creek,Rock Creek_XS93,98.82,109.51
Rock Creek,Rock Creek_XS94,97.38,0.27
Rock Creek,Rock Creek_XS94,97.43,0.45
Rock Creek,Rock Creek_XS94,97.45,0.57
Rock Creek,Rock Creek_XS94,97.58,1.42
Rock Creek,Rock Creek_XS94,97.69,2.83
Rock Creek,Rock Creek_XS94,97.82,5.66
Rock Creek,Rock Creek_XS94,97.89,8.5
Rock Creek,Rock Creek_XS94,97.93,11.89
Rock Creek,Rock Creek_XS94,97.98,14.16
Rock Creek,Rock Creek_XS94,98.14,21.24
Rock Creek,Rock Creek_XS94,98.27,28.32
Rock Creek,Rock Creek_XS94,98.37,35.4
Rock Creek,Rock Creek_XS94,98.46,42.48
Rock Creek,Rock Creek_XS94,98.55,49.56
Rock Creek,Rock Creek_XS94,98.63,56.64
Rock Creek,Rock Creek_XS94,98.77,70.79
Rock Creek,Rock Creek_XS94,98.85,80.42
Rock Creek,Rock Creek_XS94,98.89,84.95
Rock Creek,Rock Creek_XS94,99.08,109.51
Rock Creek,Rock Creek_XS95,97.5,0.27
Rock Creek,Rock Creek_XS95,97.55,0.45
Rock Creek,Rock Creek_XS95,97.58,0.57
Rock Creek,Rock Creek_XS95,97.72,1.42
Rock Creek,Rock Creek_XS95,97.86,2.83
Rock Creek,Rock Creek_XS95,98.02,5.66
Rock Creek,Rock Creek_XS95,98.13,8.5
Rock Creek,Rock Creek_XS95,98.23,11.89
Rock Creek,Rock Creek_XS95,98.3,14.16
Rock Creek,Rock Creek_XS95,98.46,21.24
Rock Creek,Rock Creek_XS95,98.57,28.32
Rock Creek,Rock Creek_XS95,98.67,35.4
Rock Creek,Rock Creek_XS95,98.76,42.48
Rock Creek,Rock Creek_XS95,98.84,49.56
Rock Creek,Rock Creek_XS95,98.92,56.64
Rock Creek,Rock Creek_XS95,99.05,70.79
Rock Creek,Rock Creek_XS95,99.13,80.42
Rock Creek,Rock Creek_XS95,99.17,84.95
Rock Creek,Rock Creek_XS95,99.35,109.51
Rock Creek,Rock Creek_XS97,98.6,0.27
Rock Creek,Rock Creek_XS97,98.67,0.45
Rock Creek,Rock Creek_XS97,98.7,0.57
Rock Creek,Rock Creek_XS97,98.85,1.42
Rock Creek,Rock Creek_XS97,98.98,2.83
Rock Creek,Rock Creek_XS97,99.11,5.66
Rock Creek,Rock Creek_XS97,99.2,8.5
Rock Creek,Rock Creek_XS97,99.28,11.89
Rock Creek,Rock Creek_XS97,99.31,14.16
Rock Creek,Rock Creek_XS97,99.38,21.24
Rock Creek,Rock Creek_XS97,99.42,28.32
Rock Creek,Rock Creek_XS97,99.45,35.4
Rock Creek,Rock Creek_XS97,99.51,42.48
Rock Creek,Rock Creek_XS97,99.59,49.56
Rock Creek,Rock Creek_XS97,99.66,56.64
Rock Creek,Rock Creek_XS97,99.78,70.79
Rock Creek,Rock Creek_XS97,99.84,80.42
Rock Creek,Rock Creek_XS97,99.87,84.95
Rock Creek,Rock Creek_XS97,100.02,109.51
Rock Creek,Rock Creek_XS98,98.65,0.27
Rock Creek,Rock Creek_XS98,98.73,0.45
Rock Creek,Rock Creek_XS98,98.76,0.57
Rock Creek,Rock Creek_XS98,98.92,1.42
Rock Creek,Rock Creek_XS98,99.05,2.83
Rock Creek,Rock Creek_XS98,99.17,5.66
Rock Creek,Rock Creek_XS98,99.26,8.5
Rock Creek,Rock Creek_XS98,99.35,11.89
Rock Creek,Rock Creek_XS98,99.38,14.16
Rock Creek,Rock Creek_XS98,99.45,21.24
Rock Creek,Rock Creek_XS98,99.49,28.32
Rock Creek,Rock Creek_XS98,99.51,35.4
Rock Creek,Rock Creek_XS98,99.56,42.48
Rock Creek,Rock Creek_XS98,99.65,49.56
Rock Creek,Rock Creek_XS98,99.73,56.64
Rock Creek,Rock Creek_XS98,100.06,70.79
Rock Creek,Rock Creek_XS98,100.13,80.42
Rock Creek,Rock Creek_XS98,100.15,84.95
Rock Creek,Rock Creek_XS98,100.33,109.51
Rock Creek,Rock Creek_XS99,99.33,0.27
Rock Creek,Rock Creek_XS99,99.39,0.45
Rock Creek,Rock Creek_XS99,99.41,0.57
Rock Creek,Rock Creek_XS99,99.52,1.42
Rock Creek,Rock Creek_XS99,99.62,2.83
Rock Creek,Rock Creek_XS99,99.7,5.66
Rock Creek,Rock Creek_XS99,99.75,8.5
Rock Creek,Rock Creek_XS99,99.8,11.89
Rock Creek,Rock Creek_XS99,99.85,14.16
Rock Creek,Rock Creek_XS99,99.97,21.24
Rock Creek,Rock Creek_XS99,100.06,28.32
Rock Creek,Rock Creek_XS99,100.16,35.4
Rock Creek,Rock Creek_XS99,100.23,42.48
Rock Creek,Rock Creek_XS99,100.32,49.56
Rock Creek,Rock Creek_XS99,100.45,56.64
Rock Creek,Rock Creek_XS99,100.62,70.79
Rock Creek,Rock Creek_XS99,100.7,80.42
Rock Creek,Rock Creek_XS99,100.73,84.95
Rock Creek,Rock Creek_XS99,100.89,109.51
